Name,Rng,IdealRng,HP Dmg,Armor Dmg,Armor Pen,Supp,Elems Hit,RoF,Trade Val,Acc Mod,Ammo,DeployCost,AccDropOff,DmgDropoff,PenDropoff,DmgArmorDropoff,ScatterChance,Rarity,IsSilent,Type
C1A2 SPC,8,4,9,10,25,2,1,2,N/A,0,16,7,-6,-1,-1.8,-0.6,0.5,0,FALSE,Battle rifle
Pirate Pipe Gun,8,4,9,25,20,3,1,1,10,0,16,4,-4,-1,-1.8,-0.6,0.5,10,FALSE,Battle rifle
"BR3A3 Kr-BaR ""Crowbar",9,7,11,13,35,3.75,1,2,15,0,12,9,-8,-0.8,-1.4,-0.5,0.5,10,FALSE,Battle rifle
BR3A3 Kr-BaRMOD1,10,8,12,13,35,4,1,2,70,0,12,13,-8,-0.7,-1.2,-0.5,0.5,35,FALSE,Battle rifle
BR3A3 Kr-BaR MOD2 Carbine,9,3,11,13,35,4,1,2,70,10,12,13,-9,-0.8,-1.4,-0.5,0.5,35,FALSE,Battle rifle
BR3A3 Kr-BaR MOD3 Suppressed,9,7,11,13,35,4,1,2,70,10,12,13,-8,-0.8,-1.4,-0.5,0.5,35,TRUE,Battle rifle
BR6A1 HaMER,10,8,13,15,40,5,1,2,120,0,12,20,-7,-0.7,-1.2,-0.4,0.5,50,FALSE,Battle rifle
MP3A9 PPP,5,2,12,9,15,3,1,5,15,0,16,9,-8,-1.1,-2.2,-1.2,0.5,10,FALSE,SMG
MK46MOD2 SPC,6,3,8,9,30,3,1,5,25,0,16,11,-7,-0.9,-2,-1,0.5,20,FALSE,SMG
Griffin MK1MOD1,6,2,13,10,20,4,1,5,120,0,16,13,-7,-1,-2,-1,0.5,50,FALSE,SMG
"MP3A9 PPP ""Hi-Cap""",5,1,12,9,15,3,1,7,70,0,16,13,-9,-1.2,-2.2,-1.2,0.5,35,FALSE,SMG
"MP3A9 ""SOF"" PPP",5,2,12,9,15,3,1,5,70,10,16,13,-8,-1.1,-2.2,-1.2,0.5,35,TRUE,SMG
Pirate looted PDW,6,3,7,8,30,2,1,5,20,0,16,13,-8,-1,-2.2,-1,0.5,40,FALSE,SMG
MP11A2 - HIG Oktagon,7,3,14,11,25,5,1,5,200,0,16,20,-6,-0.9,-1.8,-0.8,0.5,70,FALSE,SMG
Kruger CTMP 45,6,2,18,18,15,4,1,5,520,0,16,20,-10,-1.5,-2.8,-1.4,0.5,50,FALSE,SMG
R10A6 K-PAC,8,4,9,9,30,3,1,3,15,0,16,9,-6,-0.8,-1.8,-0.6,0.5,10,FALSE,Assault Rifle
R14A2 ARC,7,6,12,13,20,3,1,3,15,0,16,9,-7,-0.9,-1.9,-0.8,0.5,35,FALSE,Assault Rifle
Pirate Assault Rifle,8,3,9,7,24,3,1,3,10,-5,16,10,-7,-0.9,-2,-0.8,0.5,0,FALSE,Assault Rifle
XL1A14,8,4,8,25,75,2,1,2,150,5,0,12,-4,-0.5,-3,0,0.5,35,FALSE,Assault Rifle
"R10A6 ""CQB"" K-PAC",7,2,9,9,30,3,1,4,70,5,16,13,-8,-0.9,-2,-0.6,0.5,35,FALSE,Assault Rifle
"R10A6 ""RANGE"" K-PAC",9,6,9,9,34,3,1,3,70,0,16,13,-5,-0.7,-1.7,-0.6,0.5,35,FALSE,Assault Rifle
"R10A6 ""SOF"" K-PAC",8,4,10,9,30,3,1,3,70,10,16,13,-6,-0.8,-1.8,-0.6,0.5,35,FALSE,Assault Rifle
"R14A2 ARC ""Range""",8,6,12,13,25,3,1,3,70,0,16,13,-7,-0.9,-1.9,-0.8,0.5,35,FALSE,Assault Rifle
"R14A2 ARC ""CSP""",7,3,14,15,20,3,1,3,70,10,16,13,-9,-1,-2,-0.8,0.5,35,FALSE,Assault Rifle
"R14A2 ARC ""SOCC""",7,4,12,13,20,3,1,3,70,10,16,13,-7,-1,-2,-0.8,0.5,35,FALSE,Assault Rifle
R10A6 K-PAC with Launcher,8,4,9,9,30,3,1,3,65,-10,16,18,-6,-0.8,-1.8,-0.6,0.5,35,FALSE,Assault Rifle
R228A1 MRS,9,4,11,11,35,3,1,3,120,0,16,20,-5,-0.6,-1.6,-0.5,0.5,50,FALSE,Assault Rifle
Enhanced EM Assault Rifle,10,5,13,15,40,4,1,3,120,0,16,30,-5,-0.6,-1.6,-0.5,0.5,0,FALSE,Assault Rifle
MK22MOD1,7,3,30,25,30,5,1,2,140,0,16,22,-9,-1.5,-2,-0.8,0.5,55,FALSE,Heavy Assault Rifle
Stoneclad CS185,5,2,10,30,10,4,1,2,15,20,16,9,-5,-1.5,-2.5,-5,0.5,10,FALSE,Shotgun
Corridor Sweeper,5,2,9,25,9,4,1,2,10,10,16,10,-8,-1.8,-2.8,-6,0.5,0,FALSE,Shotgun
